node,start,end,ms,msg,commit,type
kitc,2020-10-14,2020-11-17,,,f343fb1,duracell
bath,2020-10-21,2020-12-15,,,f343fb1,duracell
hprs,2020-10-31,2021-03-09,527079,39456,f343fb1,duracell
kitc,2020-11-23,,,,6fdd778,duracell
bath,2020-12-15,2021-01-25,148191,11993,9dcf06f,duracell
kitc,2020-12-31,2021-02-05,121559,11539,9dcf06f,duracell
bdrm,,2021-02-02,1226725,84231,,duracell
bdrm,2021-02-02,2021-09-10,2430496,215188,bea7474,duracell
kitc,2021-02-06,2021-03-18,136349,12944,9dcf06f,duracell
bath,2021-01-25,2021-02-27,114427,9547,9dcf06f,duracell
hprs,2021-03-09,2021-07-10,356417,37817,7f8d5f9,duracell
bath,2021-02-27,2021-03-15,52701,4794,9dcf06f,duracell
bath,2021-03-16,2021-04-01,51280,4837,9dcf06f,duracell
kitc,2021-03-18,2021-04-30,148717,14255,f2ae0df,duracell
bath,2021-04-02,2021-04-21,60129,5249,aabc77b,duracell
bath,2021-04-21,2021-07-07,1827006,155101,aabc77b,duracell
kitc,2021-04-30,2021-06-14,160923,15566,f2ae0df,tesco extra long life
kitc,2021-06-14,2021-07-31,159182,16007,f2ae0df,tesco
ensu,2020-05-24,2021-09-10,2062858,144018,,duracell
fron,2020-06-25,2021-06-24,2407708,176456,,duracell plus
fron,2021-06-24,2022-03-16,1665503,171123,84842c7,tesco extra long life
bath,2021-07-09,2022-12-07,1815431,152452,aabc77b,tesco extra long life
hprs,2021-07-11,2021-11-11,353808,37622,7f8d5f9,duracell simply
kitc,2021-08-01,2021-09-15,150521,14874,f2ae0df,tesco
stud,2021-08-01,2022-10-27,1303480,138266,f2ae0df,tesco
ensu,2021-09-10,2022-09-18,1716760,155043,f2ae0df,tesco
bdrm,2021-09-10,2022-05-06,1934055,172487,f2ae0df,tesco
kitc,2021-09-15,2021-10-27,107474,10628,bb94809,duracell simply
kitc,2021-10-27,2021-12-19,137242,13282,bb94809,tesco
hprs,2021-11-11,2022-03-18,298719,32890,bb94809,tesco
kitc,2021-12-19,2022-02-13,146462,14272,bb94809,tesco
fron,2022-03-15,2022-12-01,670146,68293,ecc21bb,tesco
hprs,2022-03-18,2022-07-22,300367,32898,bb94809,simply duracell
kitc,2022-02-13,2022-04-08,139593,13618,bb94809,tesco
bdrm,2022-05-09,2022-10-26,499161,44334,a406c7b,tesco
kitc,2022-04-08,2022-05-31,139210,13617,bb94809,tesco
kitc,2022-05-31,2022-07-19,124536,12327,bb94809,simply duracell
kitc,2022-07-20,2022-09-15,147259,14429,bb94809,tesco
hprs,2022-07-23,2022-12-08,336140,35907,bb94809,tesco
kitc,2022-09-15,2022-10-28,116674,11018,bb94809,tesco
ensu,2022-09-19,2023-11-02,1155905,105751,bb94809,tesco
bdrm,2022-10-26,2023-09-03,931805,81288,a406c7b,tesco
stud,2022-10-27,,,,f2ae0df,tesco
kitc,2022-10-29,2022-12-06,102428,9647,bb94809,tesco
fron,2022-12-01,2023-09-06,710080,73295,ecc21bb,varta
kitc,2022-12-06,2023-02-05,165681,15660,bb94809,varta
bath,2022-12-07,2022-12-24,66510,5152,aabc77b,varta
hprs,2022-12-08,2023-04-04,284659,30503,bb94809,varta
bath,2023-01-03,2023-01-12,45029,3456,aabc77b,varta
hprs,2023-05-06,2023-09-06,297795,32587,bb94809,simply duracell
